,Mobile devices,,,All devices,,,Mobile devices,,,All devices,,
Report Date,Stuff UB,NZH UB,Stuff - NZH UB,Stuff UB,NZH UB,Stuff - NZH UB,Stuff PI,NZH PI,Stuff - NZH PI,Stuff PI,NZH PI,Stuff - NZH PI
6-Apr-19,735035,623390,111645,927091,826274,100817,2617931,1734649,883282,5756489,3480660,2275829
7-Apr-19,806517,659521,146996,1015912,945485,70427,2789289,1868716,920573,4975949,3127533,1848416
8-Apr-19,699153,664120,35033,915898,934996,-19098,2956260,2017731,938529,5246633,3285898,1960735
9-Apr-19,698255,623821,74434,933719,832051,101668,2467330,1955627,511703,5595579,3956620,1638959
10-Apr-19,660429,641517,18912,857758,837734,20024,2505573,1795198,710375,5636816,3659707,1977109
11-Apr-19,733348,733956,-608,1006643,947961,58682,2377094,1814633,562461,5347277,3667526,1679751
12-Apr-19,726824,676164,50660,953219,900577,52642,2628721,1994742,633979,5834335,3929224,1905111
13-Apr-19,663647,678476,-14829,869090,870186,-1096,2694922,1949484,745438,5863700,3801074,2062626
14-Apr-19,674992,680174,-5182,893338,911968,-18630,2513702,2057457,456245,4498614,3299809,1198805
15-Apr-19,696929,671330,25599,969995,946321,23674,2624281,2071350,552931,4710843,3342053,1368790
16-Apr-19,715630,710766,4864,928573,970758,-42185,2353076,1943954,409122,5216561,3874544,1342017
17-Apr-19,699655,671210,28445,904839,893739,11100,2481284,1984622,496662,5502978,3920606,1582372
18-Apr-19,699284,691892,7392,935349,924420,10929,2542688,1875956,666732,5627406,3711166,1916240
19-Apr-19,742593,705539,37054,993970,955089,38881,2351923,1986896,365027,5049889,3775385,1274504
20-Apr-19,642629,642172,457,883880,875807,8073,2667846,2147084,520762,4722382,3370067,1352315
21-Apr-19,780914,684780,96134,1036199,916310,119889,2330781,1924283,406498,4048446,3032664,1015782
22-Apr-19,802577,777555,25022,1096015,1038549,57466,2974729,2107414,867315,5037175,3275825,1761350
23-Apr-19,732766,768680,-35914,970266,1048413,-78147,2880242,2314814,565428,5073518,3689861,1383657
24-Apr-19,709144,664298,44846,929600,881587,48013,2737507,2147724,589783,5695949,3994717,1701232
25-Apr-19,746306,654129,92177,955950,837749,118201,2535288,1895760,639528,5303503,3598930,1704573
26-Apr-19,836715,688878,147837,1031653,885196,146457,2860542,2050831,809711,5089748,3384533,1705215
27-Apr-19,779131,743898,35233,969760,952012,17748,2890679,1975215,915464,5663594,3596036,2067558
28-Apr-19,770515,824960,-54445,1010310,1046745,-36435,2835476,2172068,663408,4933939,3466597,1467342
29-Apr-19,811626,740157,71469,1153601,990244,163357,2874603,2369120,505483,5159811,3798729,1361082
30-Apr-19,805757,681226,124531,1094497,899940,194557,2965422,2062702,902720,6527079,4108546,2418533
1-May-19,747770,656898,90872,1005747,836869,168878,2706600,1834551,872049,5916033,3734447,2181586
2-May-19,776886,602044,174842,1030483,788946,241537,2655662,1543495,1112167,5903498,3052483,2851015
3-May-19,802152,607672,194480,1090593,814623,275970,2594562,1440426,1154136,5740451,2887970,2852481
4-May-19,826440,604171,222269,1103928,775082,328846,2764399,1479772,1284627,5836556,2849336,2987220
5-May-19,819634,612124,207510,1043642,822371,221271,3000809,1504017,1496792,5205745,2451683,2754062
6-May-19,804759,618695,186064,1062547,831190,231357,3017958,1543679,1474279,5287343,2480011,2807332
7-May-19,889886,651004,238882,1176502,850709,325793,2844222,1490528,1353694,6277221,3004735,3272486
8-May-19,880962,622635,258327,1144126,801926,342200,3020960,1593029,1427931,6465503,3097093,3368410
9-May-19,909827,733888,175939,1178800,936907,241893,2975782,1519312,1456470,6393505,2996019,3397486
10-May-19,813784,667985,145799,1026088,848098,177990,3047228,1811459,1235769,6513321,3407978,3105343
11-May-19,956259,880969,75290,1221314,1196466,24848,2983026,1642769,1340257,6317107,3080301,3236806
12-May-19,881911,732815,149096,1114891,989123,125768,3202622,1955327,1247295,5385814,2908142,2477672
13-May-19,812962,666385,146577,1072661,885678,186983,3255010,1885368,1369642,5600563,2937382,2663181
14-May-19,809849,674599,135250,1043255,1037862,5393,2784466,1698993,1085473,6147435,3286408,2861027
15-May-19,780428,646210,134218,1026277,828981,197296,2799124,1666911,1132213,6135377,3212400,2922977
16-May-19,777325,695095,82230,1022575,894156,128419,2675698,1571827,1103871,5787264,2987539,2799725
17-May-19,796121,706217,89904,1054453,932982,121471,2542817,1675503,867314,5577681,3156633,2421048
18-May-19,766580,595852,170728,953028,872258,80770,2832667,1714139,1118528,5938305,3120406,2817899
19-May-19,782663,634806,147857,1007603,834696,172907,2703071,1535289,1167782,4709898,2441651,2268247
20-May-19,800026,593878,206148,1014437,788734,225703,2882482,1632553,1249929,5062447,2633131,2429316
21-May-19,743106,550048,193058,1012568,748295,264273,2751416,1461847,1289569,6139082,2909063,3230019
22-May-19,734607,620798,113809,938368,793732,144636,2657490,1374893,1282597,6015555,2835436,3180119
23-May-19,712647,624317,88330,967977,800369,167608,2631904,1542611,1089293,5915001,3003719,2911282
24-May-19,693407,654743,38664,903982,860830,43152,2568031,1529714,1038317,5670813,2941967,2728846
25-May-19,705306,608325,96981,898971,784301,114670,2588619,1540683,1047936,5625874,2866863,2759011
